time,eastward_wind_velocity,northward_wind_velocity
3693289531,-3.5,-3.690000057
3693289596,-3.640000105,-4.96999979
3693289660,-2.539999962,-3.559999943
3693289724,-3.559999943,-4.690000057
3693289756,-3.140000105,-4.440000057
3693289821,-3.410000086,-4.019999981
3693289886,-3.400000095,-4.75
3693289949,-2.690000057,-3.309999943
3693290013,-3.349999905,-3.869999886
3693290078,-3.039999962,-3.910000086
3693290142,-3.940000057,-3.930000067
3693290178,-2.630000114,-3.849999905
3693290238,-3.190000057,-4.53000021
3693290302,-4.309999943,-3.319999933
3693290366,-3.829999924,-2.75999999
3693290430,-3.99000001,-3.49000001
3693290495,-3.690000057,-4.019999981
3693290559,-3.640000105,-4.269999981
3693290624,-2.519999981,-4.550000191
3693290656,-3,-3.829999924
3693290721,-3.25999999,-3.829999924
3693290785,-3.660000086,-2.380000114
3693290849,-2.50999999,-4
3693290913,-2.660000086,-4.25
3693290978,-2.720000029,-3.75999999
3693291042,-2.119999886,-4.110000134
3693291076,-3.710000038,-3.380000114
3693291137,-1.690000057,-4.03000021
3693291200,-1.980000019,-3.849999905
3693291264,-4.489999771,-2.230000019
3693291329,-3.309999943,-4.010000229
3693291393,-3.059999943,-3.309999943
3693291457,-3.650000095,-3.670000076
3693291522,-3.569999933,-3.099999905
3693291556,-3.079999924,-3.410000086
3693291617,-2.930000067,-3.480000019
3693291681,-3.5,-3.730000019
3693291745,-3.609999895,-3.400000095
3693291810,-2.670000076,-3.799999952
3693291875,-4.03000021,-2.430000067
3693291939,-4.079999924,-4.230000019
3693292004,-2.630000114,-4.889999866
3693292036,-2.99000001,-2.880000114
3693292101,-2.519999981,-3.50999999
3693292165,-2.480000019,-4.039999962
3693292229,-2.180000067,-4.550000191
3693292293,-2.24000001,-3.859999895
3693292358,-4.400000095,-4.130000114
3693292423,-2.960000038,-4.239999771
3693292456,-2.480000019,-2.99000001
3693292518,-2.819999933,-4.010000229
3693292583,-1.539999962,-3.49000001
3693292647,-2.609999895,-4.320000172
3693292711,-2.099999905,-3.369999886
3693292776,-2.130000114,-4.320000172
3693292840,-2.170000076,-3.50999999
3693292904,-1.690000057,-5.179999828
3693292936,-2.630000114,-4.019999981
3693293001,-1.870000005,-3.99000001
3693293066,-3.230000019,-4.039999962
3693293131,-3.069999933,-4.28000021
3693293195,-2.680000067,-4.25
3693293260,-2.059999943,-4.039999962
3693293324,-3.269999981,-3.019999981
3693293356,-2.49000001,-3.950000048
3693293420,-1.75,-4.320000172
3693293485,-2.809999943,-3.769999981
3693293549,-1.850000024,-4.389999866
3693293614,-1.330000043,-4.420000076
3693293680,-2.279999971,-3.660000086
3693293745,-2.210000038,-3.769999981
3693293778,-2.74000001,-4.889999866
3693293843,-1.789999962,-5.059999943
3693293907,-2.130000114,-4.550000191
3693293972,-1.799999952,-4.550000191
3693294036,-1.600000024,-4.079999924
3693294101,-2.25,-3.710000038
3693294165,-2.180000067,-4.349999905
3693294197,-2.670000076,-4.590000153
3693294261,-3.49000001,-4.039999962
